date,tank,community,adj_eth_area,dispersal,wattage,metacommunity,treatment_rep,temp_mean,temp_max,temp_sd,temp_min,degree_hrs,bluegreen,chl_a_fluoro,cryptophyta,diatoms,green_algae,yellow_substances,experiment,inc.start.time,inc.stop.time,light.start.lux,inc_meanT,inc_maxT,inc_minT,week,nitrate,phosphate,ammonium,total_n,n_to_p,mean_chla,sd_chla,NPP,R,GPP,net_troph,total_adj_eth_area,total_chla,mass_specific_NPP
2018-08-13,36,peri,3.0097666726199996,none,200,9,3,23.54548611111111,26.68,1.911805732977311,21.02,81373.20000000001,0.37,14.86,0.42,0,14.06,1.59,TRUE,12:56:00,15:00:00,949,24.928461538461537,25.78,23.89,2,0,0,0.49255821908771813,0.49255821908771813,Inf,NA,NA,1.42,-1.1899999999999995,0.23000000000000043,autotrophic,27.803100017860004,0,Inf
2018-08-13,15,h2o,5.92796667262,none,200,4,2,22.973055555555554,25.69,1.6615534385206603,20.68,79394.88,1.35,39.4,0.48,0,37.57,2.4,TRUE,12:29:00,14:35:00,926,23.763846153846153,24.66,22.78,2,0,0.7552916904508069,1.052784981584277,1.052784981584277,1.3938786761388924,20.119999999999997,1.3010764773832473,1.8099999999999987,-1.5299999999999994,0.27999999999999936,autotrophic,34.109600017860004,61.955,0.02921475264304735
2018-08-15,16,peri,3.0895666726199997,none,100,4,2,23.7925,26.9,2.0463942363653618,21.02,82226.88,0,20.97,0,3.03,17.95,1.2,TRUE,11:45:00,14:00:00,1178,24.035714285714285,25.09,22.86,2,0.19688761959463585,0,2.9000525375554886,3.0969401571501245,Inf,50.55,0.1979898987322341,1.4700000000000006,-1.5199999999999996,-0.049999999999998934,autotrophic,30.191100017860002,61.265,0.023994123888027432
2018-08-13,16,peri,6.24056667262,none,100,4,2,21.917569444444446,24.66,1.6954295808659272,19.6,75747.12,0,24.25,0.54,0,23.71,1.44,TRUE,12:11:00,14:16:00,971,22.365833333333335,23.16,21.49,2,0,0,1.7970943010873848,1.7970943010873848,Inf,37.019999999999996,3.2385490578343914,1.2699999999999996,-1.0199999999999996,0.25,autotrophic,29.761100017860002,48.209999999999994,0.026343082348060563
2018-08-17,36,h2o,2.26496667262,none,200,9,3,24.530833333333334,28.14,2.2331349283891484,21.15,84778.56,NA,NA,NA,NA,NA,NA,TRUE,12:14:00,14:16:00,1350,25.3375,26.68,23.94,2,0,0,0,0,NaN,4.325,0.12020815280171303,1.2800000000000011,-1.25,0.030000000000001137,autotrophic,45.58460001786,42.575,0.03006459189665299
2018-08-13,44,h2o,3.09906667262,none,200,11,4,23.548541666666665,26.3,1.670771342635081,21.19,81383.76,1.12,1.91,0.42,0,0.37,1.98,TRUE,14:48:00,16:50:00,814,26.071538461538463,26.3,25.57,2,0.17372437023056128,1.1377855218634974,0,0.17372437023056128,0.1526863955396713,4.140000000000001,0.014142135623731277,1.7199999999999989,-1.33,0.3899999999999988,autotrophic,80.39120001786,57.705,0.02980677584264793
2018-08-13,41,h2o,3.23166667262,none,0,11,4,21.300625,24.02,1.6511937697873666,19.04,73614.95999999999,0.11,13.72,0.64,0,12.97,0.98,TRUE,14:18:00,16:25:00,997,23.31230769230769,23.72,22.65,2,0,0,0,0,NaN,5.58,0.0707106781186545,1.2100000000000009,-1.0200000000000014,0.1899999999999995,autotrophic,37.12450001786,15.69,0.07711918419375403
2018-08-17,41,peri,2.55136667262,none,0,11,4,22.401458333333334,25.95,2.110267596046311,19.26,77419.44,NA,NA,NA,NA,NA,NA,TRUE,10:38:00,12:41:00,950,20.946153846153848,22.26,19.35,2,0.6498105534766143,0.7115625623040105,0,0.6498105534766143,0.9132163324789803,NA,NA,1.0299999999999994,-1.209999999999999,-0.17999999999999972,autotrophic,21.65590001786,7.63,0.13499344692005233
2018-08-17,44,peri,2.37306667262,none,200,11,4,24.632430555555555,28.74,2.4704925039204153,21.02,85129.68000000001,NA,NA,NA,NA,NA,NA,TRUE,11:25:00,13:30:00,950,24.47692307692308,26.21,22.69,2,0,0,0,0,NaN,78.87,2.842569260369918,1.3499999999999996,-1.2799999999999994,0.07000000000000028,autotrophic,11.25290001786,80.92,0.016683143845773598
2018-08-17,34,h2o,2.38296667262,none,100,9,3,23.2275,26.38,2.1016172593731492,20.03,80274.24,NA,NA,NA,NA,NA,NA,TRUE,11:43:00,14:04:00,1010,22.97642857142857,24.41,21.49,2,0,0,0.5408209826969421,0.5408209826969421,Inf,9.434999999999999,0.021213203435595972,1.2599999999999998,-1.3199999999999985,-0.05999999999999872,autotrophic,19.813100017860002,62.540000000000006,0.02014710585225455
